attendance,study_hours,sleep_hours,screen_time,assignment_load,exam_frequency,social_interaction,burnout_level
65.04,6.77,8.38,6.09,1,5,3.67,0
64.24,4.88,7.92,7.87,2,5,3.53,0
51.84,5.58,4.84,5.29,5,1,9.01,0
80.48,9.27,6.56,4.84,2,5,9.7,0
75.13,7.67,6.44,5.26,3,5,1.63,0
52.57,8.51,7.13,5.27,2,2,5.24,0
63.93,6.18,8.73,6.35,3,3,5.93,0
95.41,7.41,6.9,6.35,4,5,1.84,0
61.98,4.74,6.7,5.98,3,4,4.4,0
57.24,7.94,4.25,3.08,5,3,3.85,0
74.47,5.99,4.31,5.97,1,3,5.82,0
99.28,6.1,4.94,3.35,3,4,6.95,0
62.1,7.55,4.16,3.01,2,1,7.33,0
83.61,9.55,7.72,9.46,3,2,2.23,0
88.08,3.45,7.62,6.84,4,5,8.32,0
61.88,8.77,4.68,7.28,3,1,7.11,0
86.41,5.05,8.18,5.21,5,4,9.0,0
68.39,6.11,4.77,9.27,3,2,5.04,0
81.62,3.15,5.51,7.1,5,2,9.05,0
81.68,5.11,5.24,8.15,2,2,8.79,0
76.79,6.52,5.86,4.95,4,4,4.95,0
54.51,3.39,5.27,9.68,1,1,4.43,0
91.77,6.44,6.44,8.56,2,5,9.4,0
66.04,9.49,6.04,8.83,2,2,7.44,0
59.33,3.74,8.93,3.38,1,2,9.35,0
52.04,8.35,4.28,4.17,3,1,8.17,0
79.54,5.87,4.71,4.29,3,2,6.48,0
83.88,7.59,4.26,4.17,3,2,2.04,0
50.83,4.82,7.13,8.84,4,4,3.62,0
75.6,4.12,4.27,2.26,2,3,9.72,0
61.32,4.12,8.18,2.61,5,1,3.87,0
82.26,3.49,6.56,4.19,1,1,1.84,0
58.72,4.3,6.64,3.6,2,1,7.37,0
84.55,7.65,6.81,3.85,3,4,7.61,0
69.34,9.17,4.85,8.38,1,4,3.57,0
96.84,8.7,4.99,6.51,5,5,3.68,0
56.88,7.8,5.59,2.05,2,4,5.22,0
67.05,3.77,6.97,5.43,2,1,1.2,0
55.67,5.02,5.05,5.26,4,5,8.1,0
96.23,5.17,4.58,2.91,2,3,3.85,0
93.87,4.75,8.85,7.41,2,2,8.68,0
62.9,6.61,4.11,7.62,5,2,8.22,0
83.0,6.75,8.01,7.77,5,5,6.95,0
90.86,5.5,7.94,7.83,1,3,3.92,0
77.76,5.48,5.49,2.0,3,2,5.65,0
76.48,8.8,4.68,9.63,5,5,5.0,0
62.09,8.53,4.73,8.51,1,4,4.05,0
54.66,5.15,7.49,9.23,2,1,8.63,0
94.86,9.4,7.21,2.13,1,3,5.35,0
95.02,9.67,7.91,9.47,1,2,8.49,0
81.66,5.29,8.69,8.48,1,1,1.95,0
66.95,5.48,7.46,8.7,1,5,2.27,0
67.46,6.54,4.78,2.75,5,2,9.8,0
86.3,9.59,5.22,7.91,3,1,6.29,0
94.86,9.13,8.21,9.68,1,4,5.59,0
94.35,3.72,5.05,7.43,4,3,5.71,0
88.99,5.75,4.36,6.56,2,5,2.94,0
82.1,6.87,7.52,9.57,2,2,7.47,0
54.21,6.52,6.01,5.54,2,4,1.76,0
58.08,4.36,8.6,6.79,2,3,6.16,0
94.93,9.01,7.25,5.81,2,3,6.14,0
80.32,7.74,4.45,9.46,1,4,9.23,0
50.46,8.87,8.74,2.61,3,2,5.74,0
55.07,9.01,5.29,6.01,4,3,2.23,0
83.18,8.24,5.69,7.5,5,5,6.15,0
50.25,6.07,6.01,8.34,4,1,1.82,0
58.04,7.27,4.26,6.66,5,5,2.83,0
77.44,4.12,6.48,9.27,5,3,1.28,0
84.59,7.72,4.62,9.54,4,1,5.62,0
82.6,4.25,6.0,2.51,1,4,1.76,0
61.21,7.86,5.75,5.22,2,1,5.22,0
85.61,4.61,7.86,2.19,1,1,9.4,0
61.86,3.82,8.02,4.64,2,1,7.48,0
66.27,4.16,4.77,6.29,3,3,1.7,0
87.32,3.01,5.83,9.29,5,2,3.02,0
82.48,8.03,5.87,8.77,4,3,7.06,0
92.46,8.13,4.76,3.02,3,2,9.05,0
82.88,6.6,7.99,2.74,2,4,1.3,0
78.42,4.13,7.54,6.71,1,4,8.31,0
54.68,3.58,4.95,6.26,4,4,6.06,0
68.39,3.13,5.83,4.13,5,4,5.91,0
63.26,4.16,4.53,9.2,3,4,9.62,0
62.2,9.24,7.14,9.42,5,5,7.73,0
98.65,4.69,4.61,5.22,2,3,8.65,0
69.65,5.48,8.93,9.12,5,2,4.19,0
94.6,3.74,7.9,5.07,1,4,5.99,0
81.56,4.56,5.95,7.89,3,5,6.54,0
89.74,6.63,6.89,5.81,3,5,3.89,0
75.13,7.25,8.56,2.98,1,5,6.13,0
78.85,4.72,6.77,9.42,5,3,3.13,0
74.63,3.4,4.87,5.63,1,4,2.29,0
59.76,5.74,5.89,7.88,4,5,4.37,0
86.12,4.64,8.22,4.94,1,5,7.65,0
64.04,4.54,7.22,2.15,5,4,9.25,0
51.22,9.72,7.25,2.8,1,3,5.12,0
82.27,7.31,8.33,5.97,2,5,6.79,0
58.86,6.9,8.47,7.52,1,2,1.93,0
97.02,5.91,8.6,4.68,1,1,9.14,0
97.7,6.0,4.47,7.56,5,1,6.12,0
95.74,6.79,6.72,7.59,4,1,8.02,0
68.51,7.88,7.7,7.63,4,3,8.15,0
50.77,7.92,7.78,5.94,5,5,3.31,0
96.42,4.2,7.03,9.32,5,1,5.76,0
71.41,6.5,4.83,5.91,5,1,9.64,0
98.33,5.88,7.99,5.6,2,4,1.81,0
98.18,9.09,7.6,3.6,3,5,7.15,0
92.65,7.42,4.43,4.46,1,5,9.66,0
64.72,6.73,6.32,2.34,5,4,3.71,0
69.25,3.81,4.87,7.07,5,5,8.75,0
92.56,7.24,5.69,3.99,5,2,9.4,0
65.85,3.82,4.09,4.43,4,3,7.72,0
58.47,5.36,6.0,8.17,5,4,3.08,0
77.84,4.0,6.75,4.62,1,1,4.01,0
96.81,7.84,7.1,3.94,5,5,1.32,0
84.8,4.44,7.32,3.35,1,2,8.48,0
78.5,5.74,8.18,8.2,2,2,8.65,0
54.86,9.27,5.08,3.04,3,3,6.69,0
80.75,4.43,4.6,5.63,4,2,4.17,0
99.5,6.55,8.26,6.06,1,5,1.69,0
57.0,5.93,4.78,7.5,2,5,7.78,0
75.92,3.13,8.87,7.07,3,2,7.54,0
93.87,8.55,8.21,8.49,3,5,9.21,0
87.04,3.48,6.5,2.36,3,5,7.57,0
84.85,6.32,8.91,4.37,1,1,8.46,0
85.12,6.92,4.49,4.24,2,4,7.71,0
67.97,7.4,5.52,3.17,5,5,6.68,0
64.68,7.82,7.19,4.31,2,5,4.84,0
90.47,4.77,5.75,4.48,2,3,9.12,0
90.51,3.07,8.64,6.18,2,4,6.86,0
93.35,8.06,4.33,7.31,1,4,4.59,0
95.66,6.75,6.75,5.05,1,4,1.75,0
75.57,8.85,6.95,7.76,1,2,3.62,0
75.08,8.75,7.26,4.69,2,1,5.89,0
89.91,8.9,5.28,4.32,1,1,3.48,0
82.5,6.4,5.82,6.33,3,3,2.99,0
85.1,5.34,8.22,2.19,1,4,5.75,0
89.79,8.54,4.97,2.64,4,4,2.53,0
94.5,6.16,8.13,5.34,1,5,8.2,0
66.9,4.28,6.81,9.54,1,2,5.36,0
68.78,8.98,7.81,7.77,1,2,6.16,0
54.7,9.18,7.57,2.71,1,3,2.33,0
78.91,6.26,5.04,8.77,4,1,3.92,0
51.8,3.53,6.84,7.86,5,4,4.69,0
73.28,5.71,8.34,6.89,1,3,8.27,0
77.13,8.62,6.16,8.56,3,2,7.93,0
64.33,9.31,8.83,5.23,4,2,3.01,0
79.54,4.42,6.26,3.77,5,2,6.55,0
51.53,3.47,4.71,6.1,1,4,3.19,0
51.87,9.14,5.95,6.39,5,4,9.89,0
91.13,5.73,8.76,6.31,3,4,9.57,0
68.01,6.79,5.6,6.52,4,5,6.07,0
56.35,9.78,8.34,9.59,4,1,7.29,0
76.11,3.47,8.41,9.22,5,2,8.21,0
88.5,7.54,5.75,9.01,1,2,7.49,0
60.79,3.52,4.42,8.41,2,5,7.3,0
81.14,5.63,7.62,9.55,4,2,9.63,0
54.27,8.63,5.56,2.79,2,2,6.37,0
52.58,6.03,7.91,4.12,4,4,6.73,0
76.57,9.98,6.21,5.96,1,4,8.64,0
77.03,6.91,6.43,8.77,1,1,7.03,0
81.87,5.25,7.89,6.04,4,2,7.6,0
86.3,4.54,5.91,7.98,5,3,3.11,0
98.79,5.45,6.22,3.11,1,2,4.34,0
75.82,5.61,5.88,4.02,1,2,2.33,0
66.15,3.48,5.84,7.85,3,1,5.55,0
89.76,5.59,6.63,3.32,1,3,5.1,0
63.54,6.25,8.04,4.81,3,2,9.97,0
71.95,8.06,5.81,4.12,1,3,6.5,0
53.92,7.6,6.62,4.8,1,4,8.08,0
51.27,7.96,7.35,7.67,5,4,4.01,0
98.13,3.06,5.35,4.94,5,3,8.48,0
91.8,4.52,5.39,6.44,1,2,6.54,0
84.8,7.63,8.67,2.8,4,3,7.27,0
70.45,6.39,7.62,8.44,4,3,3.65,0
58.66,3.04,6.89,4.96,1,4,5.94,0
57.82,8.63,7.24,7.19,4,3,6.71,0
62.51,8.41,4.15,7.8,1,5,6.3,0
77.46,6.84,7.09,3.68,5,5,9.24,0
85.73,3.47,6.55,9.08,2,4,9.08,0
83.01,8.37,6.73,6.93,3,2,9.74,0
64.0,7.09,5.8,5.43,4,2,7.01,0
97.74,8.47,4.41,3.46,4,4,9.75,0
86.89,8.26,4.97,9.54,5,2,8.49,0
77.72,8.62,8.75,8.04,4,1,3.44,0
80.59,6.63,6.04,3.66,1,5,4.85,0
70.98,3.98,6.33,4.7,1,1,3.15,0
62.39,7.7,4.26,8.48,2,1,1.04,0
67.8,7.34,4.19,7.57,2,1,2.69,0
87.89,8.2,7.59,8.13,2,4,1.04,0
50.72,4.19,6.69,5.53,1,1,7.48,0
55.8,4.36,6.54,7.73,2,3,4.83,0
52.3,9.23,5.22,5.09,2,2,3.81,0
52.04,8.25,7.72,3.69,1,4,7.86,0
92.77,9.36,4.84,7.06,5,3,8.49,0
85.18,8.31,4.95,9.81,4,3,9.78,0
73.71,7.18,6.3,4.48,3,5,6.78,0
54.89,7.58,5.43,5.69,1,5,5.15,0
74.58,9.22,5.24,7.39,1,3,3.75,0
73.67,7.05,7.23,6.33,3,5,3.0,0
58.66,7.43,7.25,8.75,3,2,2.92,0
71.69,4.1,8.12,8.09,2,2,4.68,0
69.93,6.32,6.09,2.47,3,5,9.93,0
80.79,8.01,4.37,9.99,4,1,1.01,0
81.75,4.9,5.37,8.02,4,3,2.77,0
52.27,4.42,8.9,8.91,4,2,2.7,0
68.73,5.2,6.98,7.21,4,5,7.45,0
81.29,4.69,7.55,8.85,4,5,4.17,0
75.16,4.5,4.04,2.9,2,2,5.12,0
92.82,5.97,6.59,4.78,1,2,2.34,0
82.93,9.35,4.19,9.01,3,1,4.64,0
58.15,6.55,6.85,3.61,1,5,1.93,0
53.53,4.32,8.6,2.63,3,5,5.8,0
82.12,3.54,8.84,8.3,2,4,1.88,0
51.33,7.87,6.7,8.68,2,1,8.11,0
79.29,5.68,6.29,3.3,5,2,6.1,0
97.01,8.75,8.73,8.83,5,2,7.52,0
78.77,7.62,7.37,7.49,2,3,4.77,0
69.41,8.57,4.32,6.16,2,2,4.43,0
82.16,4.9,6.33,8.64,3,5,1.88,0
72.91,7.85,5.2,5.35,2,2,5.71,0
77.28,4.85,6.35,3.55,1,5,5.63,0
97.07,9.57,6.28,4.28,3,5,5.21,0
69.31,7.45,6.91,6.04,2,1,7.66,0
98.06,5.27,5.78,6.25,3,2,8.49,0
95.27,4.89,4.82,8.44,3,1,7.76,0
59.79,4.34,6.52,8.33,4,5,2.29,0
53.47,7.86,8.15,6.65,5,2,6.6,0
55.04,4.53,7.32,8.25,3,2,1.72,0
50.91,7.17,5.69,3.53,3,1,7.25,0
54.72,4.85,8.68,2.4,4,1,4.44,0
84.15,7.63,8.56,8.99,2,5,2.19,0
53.56,8.7,5.05,2.6,3,5,8.76,0
65.95,8.45,4.2,3.97,4,2,6.53,0
92.24,8.33,7.71,7.56,1,2,4.19,0
51.16,4.31,8.14,5.28,4,4,1.28,0
90.72,3.62,8.84,9.01,5,4,5.84,0
64.09,7.89,8.45,4.38,5,3,9.31,0
55.91,5.58,7.0,2.09,2,5,6.37,0
84.84,6.03,6.65,4.41,2,3,9.74,0
81.45,3.22,4.14,6.62,5,3,2.23,0
93.87,4.82,5.23,5.01,5,1,6.11,0
86.75,3.24,6.3,6.28,3,1,8.18,0
90.17,9.15,7.14,9.01,5,4,5.73,0
64.1,4.7,6.79,9.3,2,3,1.82,0
58.87,6.9,7.71,4.13,5,4,6.25,0
87.53,3.27,5.4,5.7,2,5,6.51,0
90.34,7.67,6.82,6.39,1,2,7.56,0
99.53,5.26,4.44,9.59,5,1,7.85,0
70.63,9.29,6.07,9.99,2,5,7.94,0
68.6,9.22,7.75,3.88,4,5,6.97,0
88.82,5.28,7.47,7.82,3,1,2.94,0
67.04,9.31,8.95,5.02,2,1,4.64,0
96.54,9.97,5.39,2.06,5,3,7.99,0
92.92,8.78,6.49,2.07,5,4,9.58,0
71.45,8.91,5.65,5.68,1,5,1.71,0
87.54,4.74,6.2,5.91,4,3,5.82,0
87.73,7.04,8.28,2.18,2,3,3.81,0
55.16,3.47,7.42,7.5,4,5,3.03,0
95.13,3.66,8.41,4.35,1,5,5.55,0
75.26,9.99,5.02,6.48,3,2,6.45,0
91.32,5.29,8.37,4.41,4,4,1.09,0
66.0,8.24,4.3,3.34,1,5,8.02,0
94.78,8.65,8.44,5.26,2,1,8.38,0
69.46,9.01,5.65,3.86,3,2,9.69,0
50.54,9.98,5.57,6.28,5,4,2.63,0
95.27,4.69,6.56,3.59,1,1,6.35,0
54.56,3.28,8.7,6.07,5,1,4.84,0
65.97,5.88,4.24,3.26,3,4,4.01,0
97.5,3.91,5.76,7.37,1,2,6.09,0
97.53,3.16,8.28,8.03,1,1,8.04,0
78.67,5.52,5.98,2.88,3,3,1.21,0
81.59,8.49,5.0,5.74,2,4,9.72,0
72.42,6.96,6.12,2.57,1,4,8.29,0
64.66,5.19,5.93,6.79,3,5,7.76,0
66.43,7.58,8.58,4.12,4,2,7.84,0
83.63,4.62,7.81,6.22,5,3,4.5,0
87.62,3.1,6.53,6.14,1,3,7.76,0
89.58,8.35,8.94,9.39,4,5,4.48,0
89.48,7.37,6.33,6.39,1,1,9.09,0
54.56,8.34,4.29,6.66,2,1,2.6,0
74.72,3.27,5.31,5.21,3,3,3.63,0
52.88,8.86,6.18,9.59,1,2,5.96,0
77.48,7.34,4.78,8.22,3,1,3.87,0
72.08,6.94,8.74,4.28,1,4,4.82,0
94.39,7.37,7.83,8.75,2,5,5.43,0
67.55,9.05,5.34,5.46,2,2,8.71,0
55.85,7.11,6.95,8.63,4,1,5.71,0
57.15,7.07,7.61,8.58,2,3,4.26,0
88.08,9.93,8.71,3.51,3,5,3.23,0
80.91,8.3,8.41,7.61,2,1,4.68,0
55.06,6.1,6.58,4.33,1,3,5.64,0
54.21,7.95,7.87,4.38,2,1,7.72,0
85.05,5.72,6.81,4.37,3,5,2.09,0
53.64,4.6,6.76,7.8,1,4,2.99,0
91.09,7.18,4.57,3.84,4,4,4.42,0
85.31,9.5,4.63,2.01,4,3,4.24,0
54.07,9.5,6.65,7.72,4,4,4.53,0
54.24,5.39,5.34,3.37,1,5,8.14,0
99.33,6.69,4.11,2.84,4,3,3.92,0
68.71,4.48,7.61,3.9,2,1,5.52,0
68.53,9.97,4.16,5.04,1,2,6.62,0
90.64,9.87,6.98,5.81,1,1,3.09,0
97.36,7.55,6.7,2.36,1,5,7.47,0
99.3,8.63,8.84,9.76,5,3,5.92,0
87.67,8.01,6.42,7.73,3,1,5.02,0
68.81,7.15,4.32,4.59,5,3,8.29,0
54.18,3.37,6.76,4.55,5,4,3.19,0
88.86,6.18,8.21,5.59,5,2,8.95,0
77.92,7.72,8.98,7.01,3,5,6.05,0
71.21,7.74,6.15,3.17,5,1,6.48,0
95.32,5.61,5.6,3.51,4,2,8.88,0
55.56,9.59,8.53,8.88,1,5,8.36,0
74.63,4.17,4.96,4.05,1,5,6.41,0
50.57,6.5,7.08,5.04,2,4,7.78,0
73.43,7.84,6.03,8.97,4,3,4.9,0
52.82,7.88,4.21,7.31,3,3,5.93,0
55.94,7.54,5.74,4.73,1,2,1.56,0
55.88,4.93,5.33,7.47,5,4,1.81,0
82.46,4.09,7.43,2.16,2,5,8.46,0
87.3,7.45,8.74,7.89,2,4,1.54,0
79.17,7.2,5.34,5.9,1,4,2.52,0
98.11,4.26,8.06,8.51,4,2,8.16,0
68.74,7.94,4.28,9.64,2,3,1.01,0
64.29,6.19,6.69,9.41,1,4,3.54,0
93.43,7.67,4.35,9.27,4,4,6.26,0
61.18,8.86,8.67,6.1,1,4,6.36,0
98.16,4.19,7.83,4.88,1,1,7.99,0
50.61,3.13,7.29,5.72,4,4,5.55,0
98.49,8.45,8.12,7.52,4,4,5.58,0
52.16,7.27,7.24,9.07,4,5,7.53,0
94.56,7.9,8.84,3.66,1,1,5.49,0
76.39,8.87,7.57,9.35,2,4,6.48,0
99.65,8.62,8.62,8.52,3,4,9.08,0
53.69,9.73,6.59,9.83,3,2,4.61,0
77.69,6.75,4.59,9.04,1,2,4.47,0
98.47,6.42,6.64,4.24,1,1,1.03,0
76.15,5.81,4.63,2.85,2,5,6.52,0
81.47,4.08,6.96,2.9,4,1,1.27,0
84.79,7.01,6.41,4.33,1,1,5.54,0
72.73,4.94,7.11,6.91,5,2,8.24,0
81.38,9.45,4.05,8.43,4,2,5.95,0
79.22,7.08,4.97,9.19,1,5,3.43,0
95.06,7.15,6.46,6.99,5,4,8.08,0
52.27,5.48,8.75,2.05,2,5,3.43,0
64.05,3.36,5.92,3.49,5,4,7.6,0
97.52,3.22,6.12,2.8,1,3,6.49,0
94.51,5.96,7.57,4.91,3,2,2.53,0
72.78,3.59,7.02,6.01,1,3,9.15,0
81.01,7.25,5.49,2.35,3,3,2.81,0
63.87,9.17,6.05,4.79,2,2,9.91,0
59.41,9.18,5.09,3.43,2,3,1.07,0
73.18,7.61,8.83,7.18,4,1,3.37,0
67.67,4.48,4.65,5.71,4,4,2.8,0
79.18,9.04,5.86,5.96,3,5,1.13,0
53.89,9.2,4.13,5.42,3,2,7.59,0
98.72,4.38,5.11,9.65,2,1,7.24,0
99.31,8.16,7.9,3.72,5,5,8.13,0
84.91,5.01,5.01,6.13,3,5,3.31,0
76.8,8.62,4.4,7.89,3,5,5.0,0
65.48,9.98,6.37,6.45,5,3,6.93,0
90.69,3.21,4.05,9.43,4,3,4.96,0
84.24,9.28,4.42,5.02,4,3,7.28,0
58.13,7.36,8.04,5.71,3,3,6.71,0
95.55,9.81,7.86,2.71,4,1,2.03,0
91.13,6.26,8.58,6.87,4,3,8.03,0
97.49,8.93,8.27,4.31,4,2,7.49,0
86.29,3.44,7.42,3.28,2,5,6.9,0
80.67,5.35,4.26,6.36,1,1,2.4,0
70.91,3.47,7.91,6.26,3,3,3.41,0
96.64,9.83,8.23,2.61,3,5,4.54,0
93.3,8.72,8.0,7.59,2,1,3.52,0
52.26,8.97,6.54,6.99,1,5,3.05,0
51.32,9.57,5.16,3.51,1,1,8.25,0
68.82,3.6,8.23,5.76,2,4,6.74,0
90.53,5.7,7.64,7.76,5,1,6.09,0
99.36,3.5,8.9,6.24,5,3,3.03,0
57.52,4.48,4.78,5.16,1,5,9.26,0
79.71,4.61,5.13,4.58,5,5,2.72,0
69.04,6.28,5.06,6.88,5,5,8.15,0
98.5,4.88,7.96,9.51,5,2,9.7,0
92.11,3.71,4.93,7.37,1,2,7.54,0
91.92,4.17,4.33,2.6,5,3,9.94,0
73.43,4.03,8.99,5.69,3,4,6.86,0
70.74,9.81,4.12,9.13,1,2,2.96,0
63.67,8.32,8.18,2.76,2,1,2.83,0
52.82,9.77,5.83,9.91,5,3,3.92,0
93.24,6.08,8.21,9.59,4,4,1.06,0
90.65,4.95,6.77,2.63,1,1,7.14,0
99.99,8.59,8.51,9.47,2,5,3.42,0
99.83,5.28,8.63,4.91,3,2,8.34,0
77.77,5.1,4.05,8.76,2,1,4.23,0
